Instrument,Action,Quantity,Price,Time,ID,E/X,Position,Order ID,Name,Commission,Rate,Account,Connection,
MNQ 03-26,Buy,4,24946.25,12/17/2025 1:38:49 PM,351110530007,Entry,-,,,$2.08,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,24972.00,12/17/2025 2:00:41 PM,351110530052,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,24963.75,12/17/2025 2:02:00 PM,351110530078,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,24962.50,12/17/2025 2:02:27 PM,351110530086,Entry,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,24962.00,12/17/2025 2:02:34 PM,351110530095,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,24944.75,12/17/2025 2:08:08 PM,351110530112,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,2,24953.25,12/17/2025 2:13:07 PM,351110530138,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,2,24957.50,12/17/2025 2:13:23 PM,351110530148,Entry,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,24951.25,12/17/2025 2:25:53 PM,351110530162,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25163.25,12/18/2025 8:49:10 AM,351110530175,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25243.00,12/18/2025 8:53:00 AM,351110530184,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25253.00,12/18/2025 8:55:53 AM,351110530195,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25252.00,12/18/2025 9:06:05 AM,351110530216,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25339.25,12/18/2025 9:31:16 AM,351110530227,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25340.50,12/18/2025 9:35:57 AM,351110530253,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25364.75,12/18/2025 9:36:35 AM,351110530261,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25390.25,12/18/2025 9:43:33 AM,351110530285,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25392.00,12/18/2025 10:07:03 AM,351110530293,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,25381.00,12/18/2025 10:14:28 AM,351110530321,Entry,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,2,25401.00,12/18/2025 10:17:39 AM,351110530356,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25377.75,12/18/2025 10:15:20 AM,351110530349,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25401.50,12/18/2025 10:18:10 AM,351110530366,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25394.50,12/18/2025 10:18:43 AM,351110530381,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25399.50,12/18/2025 10:20:24 AM,351110530389,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25386.25,12/18/2025 10:24:02 AM,351110530401,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25376.25,12/18/2025 10:32:05 AM,351110530409,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25395.50,12/18/2025 10:48:34 AM,351110530443,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25222.75,12/18/2025 11:30:00 AM,351110530459,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25270.00,12/18/2025 11:36:13 AM,351110530501,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,1,25351.25,12/18/2025 11:58:57 AM,351110530515,Entry,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25349.75,12/18/2025 11:59:44 AM,351110530533,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,2,25455.25,12/19/2025 8:39:02 AM,351110530546,Entry,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,2,25506.50,12/19/2025 8:43:47 AM,351110530571,Exit,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Buy,2,25484.00,12/19/2025 10:02:19 AM,351110530582,Entry,-,,,$1.04,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25550.50,12/19/2025 10:12:11 AM,351110530603,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
MNQ 03-26,Sell,1,25549.75,12/19/2025 10:13:05 AM,351110530618,Exit,-,,,$0.52,1,PAAPEX2804660000014,APEX,
