Trade number;Instrument;Account;Strategy;Market pos.;Qty;Entry price;Exit price;Entry time;Exit time;Entry name;Exit name;Profit;Cum. net profit;Commission;Clearing Fee;Exchange Fee;IP Fee;NFA Fee;MAE;MFE;ETD;Bars;
1;NQ DEC25;APEX3264990000015;;Long;1;25556,50;25557,75;12/12/2025 08:45:09;12/12/2025 08:53:16;;;$ 21,90;$ 21,90;$ 3,10;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 25,00;$ 25,00;$ 3,10;0;
2;NQ DEC25;APEX3264990000015;;Long;1;25580,50;25568,75;12/12/2025 08:56:28;12/12/2025 08:59:11;;;-$ 238,10;-$ 216,20;$ 3,10;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 235,00;$ 235,00;$ 473,10;0;
3;MNQ DEC25;APEX3264990000015;;Long;4;25561,50;25564,25;12/12/2025 08:45:38;12/12/2025 08:59:32;;;$ 17,84;-$ 198,36;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 22,00;$ 22,00;$ 4,16;0;
4;MNQ DEC25;APEX3264990000015;;Long;2;25559,75;25564,25;12/12/2025 08:53:28;12/12/2025 08:59:32;;;$ 15,92;-$ 182,44;$ 2,08;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 18,00;$ 18,00;$ 2,08;0;
5;MNQ DEC25;APEX3264990000015;;Long;4;25568,00;25583,75;12/12/2025 08:59:59;12/12/2025 09:18:01;;;$ 121,84;-$ 60,60;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 126,00;$ 126,00;$ 4,16;0;
6;NQ DEC25;APEX3264990000015;;Long;1;25567,00;25582,75;12/12/2025 08:59:44;12/12/2025 09:18:33;;;$ 311,90;$ 251,30;$ 3,10;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 315,00;$ 315,00;$ 3,10;0;
7;MNQ DEC25;APEX3264990000015;;Long;4;25564,00;25550,25;12/12/2025 10:42:48;12/12/2025 10:44:19;;;-$ 114,16;$ 137,14;$ 4,16;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 110,00;$ 110,00;$ 224,16;0;
8;MNQ DEC25;APEX3264990000015;;Long;3;25563,50;25532,25;12/12/2025 10:46:22;12/12/2025 10:47:49;;;-$ 190,62;-$ 53,48;$ 3,12;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 187,50;$ 187,50;$ 378,12;0;
9;MNQ DEC25;APEX3264990000015;;Long;1;25563,50;25532,25;12/12/2025 10:46:22;12/12/2025 10:47:49;;;-$ 63,54;-$ 117,02;$ 1,04;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 62,50;$ 62,50;$ 126,04;0;
10;NQ DEC25;APEX3264990000015;;Long;1;25492,50;25478,75;12/12/2025 11:04:14;12/12/2025 11:06:53;;;-$ 278,10;-$ 395,12;$ 3,10;$ 0,00;$ 0,00;$ 0,00;$ 0,00;$ 275,00;$ 275,00;$ 553,10;0;
