Instrument;Action;Quantity;Price;Time;ID;E/X;Position;Order ID;Name;Commission;Rate;Account;Connection;
NQ DEC25;Buy;1;25556,50;12/12/2025 08:45:09;334740357512;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25557,75;12/12/2025 08:53:16;334740357549;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25561,50;12/12/2025 08:45:38;334740357524;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25564,25;12/12/2025 08:59:32;334740357621;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25559,75;12/12/2025 08:53:28;334740357560;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25564,25;12/12/2025 08:59:32;334740357616;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25580,50;12/12/2025 08:56:28;334740357590;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25568,75;12/12/2025 08:59:11;334740357603;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25567,00;12/12/2025 08:59:44;334740357633;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25582,75;12/12/2025 09:18:33;334740357701;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25568,00;12/12/2025 08:59:59;334740357652;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25583,75;12/12/2025 09:18:01;334740357696;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25564,00;12/12/2025 10:42:48;334740357718;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25550,25;12/12/2025 10:44:19;334740357731;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25563,50;12/12/2025 10:46:22;334740357742;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25532,25;12/12/2025 10:47:49;334740357770;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;3;25532,25;12/12/2025 10:47:49;334740357765;Exit;-;;;$ 1,56;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Buy;1;25492,50;12/12/2025 11:04:14;334740357790;Entry;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
NQ DEC25;Sell;1;25478,75;12/12/2025 11:06:53;334740357819;Exit;-;;;$ 1,55;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;4;25435,75;12/12/2025 11:15:40;334740357830;Entry;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25405,50;12/12/2025 11:21:24;334740357847;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25381,00;12/12/2025 11:25:01;334740357858;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;2;25348,75;12/12/2025 11:28:25;334740357879;Exit;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25359,25;12/12/2025 11:33:25;334740357890;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;2;25346,75;12/12/2025 11:34:23;334740357914;Entry;-;;;$ 1,04;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;4;25323,25;12/12/2025 11:36:02;334740357939;Exit;-;;;$ 2,08;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Buy;1;25345,25;12/12/2025 11:36:24;334740357953;Entry;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
MNQ DEC25;Sell;1;25355,50;12/12/2025 11:51:04;334740358083;Exit;-;;;$ 0,52;1;APEX3264990000015;My NinjaTrader;
