time,open,high,low,close,Midnight Level,Início - Meia-Noite
930693600,5875.5,5930.5,5850.5,5907.5,,
930780000,5908,5939,5877,5929.5,,
931212000,5965.5,5992,5958.5,5978,,
931298400,5947,5949.5,5923,5934,,
931384800,5950,5987,5932.5,5970,,
931471200,5977,5987.5,5966,5980,,
931730400,6005,6019,5971,6004,,
931816800,5976,5981,5954.5,5964,,
931903200,5979.5,6008.5,5964,6006,,
931989600,6016,6035.5,6010.5,6030,,
932076000,6030,6071,6028.5,6066,,
932335200,6057.5,6071,6024,6031.5,,
932421600,5984,5988,5940.5,5951.5,,
932508000,5938.5,5969.5,5924,5935,,
932594400,5898,5906.5,5881,5894,,
932680800,5907,5915,5865.5,5885,,
932940000,5863,5884,5847.5,5850,,
933026400,5858,5910.5,5856,5907.5,,
933112800,5901.5,5935,5874,5916.5,,
933199200,5908,5911,5851,5866.5,,
933285600,5886,5909,5864,5876,,
933544800,5848.5,5907,5842.5,5892.5,,
933631200,5864,5884.5,5806,5843.5,,
933717600,5844,5855.5,5815,5829,,
933804000,5789,5823.5,5746.5,5808,,
933890400,5833,5855.5,5797,5806.5,,
934149600,5818,5826,5788,5809,,
934236000,5724,5749,5714,5741,,
934322400,5779,5812,5766.5,5808.5,,
934408800,5830.5,5854.5,5816,5820,,
934495200,5799.5,5884.5,5796,5879.5,,
934754400,5900,5930,5889,5895,,
934840800,5912,5941,5871,5916.5,,
934927200,5932,5945.5,5902,5905.5,,
935013600,5904,5908.5,5860,5884,,
935100000,5877.5,5895.5,5864.5,5890,,
935359200,5919,5954,5917.5,5945,,
935445600,5970,6026.5,5961.5,5987,,
935532000,5997,6058.5,5988.5,6052.5,,
935618400,6052,6059.5,6007,6010,,
935704800,6007,6031,5981.5,5987,,
935964000,5987,6003,5945,5956,,
936050400,5961,5991,5914.5,5977.5,,
936136800,5977,6014,5971,5996.5,,
936223200,5995.5,5998.5,5944,5983.5,,
936309600,5985.5,6095,5978,6095,,
936655200,6113,6113,6079,6084.5,,
936741600,6082,6090.5,6038,6051,,
936828000,6047,6089,6036,6088,,
936914400,6087,6146,6084,6119,,
937173600,6122,6132,6069.5,6077.5,,
937260000,6081,6113,6061.5,6097,,
937346400,6096,6131.5,6043,6046,,
937432800,6045,6065,5994.5,6046,,
937519200,6049,6126,6044.5,6120.5,,
937778400,6137,6140,6103,6122,,
937864800,6130,6130,6055,6062,,
937951200,6062,6100.5,6035,6090,,
938037600,6089,6119,5967.5,5986,,
938124000,5985,5991.5,5927,5978,,
938383200,5979,6038.5,5979,6003.5,,
938469600,6003,6022,5938,6015,,
938556000,6016,6028.5,5967,5969,,
938642400,5969,6014.5,5957,5991.5,,
938728800,5988.5,5992,5931.5,5983.5,,
938988000,5983.5,6051.5,5976.5,6050.5,,
939074400,6048,6087.5,6010,6060,,
939160800,6056.5,6111,6053,6107.5,,
939247200,6107.5,6151,6085,6104,,
939333600,6102,6132,6057,6130,,
939592800,6130,6163.5,6120,6160,,
939679200,6161,6169,6097.5,6108,,
939765600,6084,6106.5,6017.5,6026,,
939852000,6038,6060,5997,6044,,
939938400,6047,6050.5,5957,5968,,
940197600,5958.5,5989,5870.5,5933,,
940284000,5932.5,5976,5911.5,5937,,
940370400,5948,6044,5948,6024.5,,
940456800,6022.5,6066,5965,6065,,
940543200,6063,6099,6045,6048.5,,
940802400,6049.5,6080,6022,6053,,
940888800,6051.5,6097,6028,6028,,
940975200,6027,6041,5990,6030,,
941061600,6030,6116.5,6009,6114,,
941148000,6112,6224,6103,6207.5,,
941410800,6202,6234.5,6185,6191,,
941497200,6185,6236.5,6178.5,6195,,
941583600,6193,6257.5,6192,6247,,
941670000,6245.5,6284,6244,6275,,
941756400,6275,6336,6262,6336,,
942015600,6302.5,6362,6292.5,6360,,
942102000,6357,6399.5,6305,6337,,
942188400,6338,6391,6322,6370.5,,
942274800,6362.5,6421,6362.5,6418.5,,
942361200,6416,6462,6354,6457,,
942620400,6460.5,6470,6435.5,6450.5,,
942706800,6444,6536,6441,6528,,
942793200,6472,6537,6472,6483,,
942879600,6481.5,6573,6475.5,6570,,
942966000,6567,6601,6544.5,6595.5,,
943225200,6604,6621.5,6571,6617.5,,
943311600,6618,6630,6534.5,6565,,
943398000,6563,6675,6542,6671,,
943570800,6671.5,6717,6664.5,6673,,
943830000,6676,6694.5,6619,6620,,
943916400,6623,6631,6520,6524,,
944002800,6523,6582,6513.5,6565.5,,
944089200,6567.5,6667,6562.5,6663,,
944175600,6662,6770.5,6646,6726,,
944434800,6726.5,6781,6709,6755,,
944521200,6752,6779,6712.5,6761.5,,
944607600,6757,6780,6712,6717.5,,
944694000,6714,6775.5,6657,6721,,
944780400,6712,6772,6683,6759,,
945039600,6765,6829,6728,6799,,
945126000,6793.5,6832.5,6719,6733,,
945212400,6734.5,6795.5,6677.5,6789,,
945298800,6790.5,6891.5,6784.5,6890.5,,
945385200,6891.5,6967,6887.5,6922,,
945644400,6947.5,6947.5,6947.5,6947.5,,
945730800,6947.5,7106,6940,7100.5,,
945817200,7102.5,7134.5,7058,7127,,
945903600,7122,7190.5,7108,7144.5,,
946249200,7144,7187,7074.5,7149.5,,
946335600,7143.5,7182.5,7104.5,7130.5,,
946422000,7130,7256.5,7120,7253,,
946508400,7253,7313,7228.5,7243.5,,
946594800,7237,7280.5,7231,7262.5,,
946854000,7258.5,7403.5,7189.5,7346,,
946940400,7347,7351,7033.5,7068,,
947026800,7066,7126.5,6903.5,7016.5,,
947113200,7001.5,7061.5,6791,6824,,
947199600,6793,7083,6765.5,7070.5,,
947458800,7069.5,7313,7063,7274.5,,
947545200,7273.5,7274.5,7050.5,7090.5,,
947631600,7084.5,7123.5,6984.5,7016.5,,
947718000,7016.5,7159.5,7010.5,7152.5,,
947804400,7168.5,7293.5,7153.5,7261,,
948150000,7251.5,7328,7178,7308.5,,
948236400,7309,7359,7249.5,7353,,
948322800,7355.5,7421.5,7319.5,7388.5,,
948409200,7378.5,7422.5,7332.5,7401.5,,
948668400,7400,7446.5,7184,7189.5,,
948754800,7183.5,7305.5,7115,7297,,
948841200,7283.5,7296,7146,7163,,
948927600,7137,7242.5,7034.5,7144.5,,
949014000,7149,7193.5,6917.5,6983.5,,
949273200,6970.5,7128.5,6879.5,7121,,
949359600,7115,7243.5,7072.5,7232,,
949446000,7228,7324.5,7200.5,7242.5,,
949532400,7242.5,7401,7221.5,7401,,
949618800,7396.5,7468.5,7369.5,7415,,
949878000,7415,7467,7384,7465.5,,
949964400,7453,7607,7450.5,7603.5,,
950050800,7608.5,7652.5,7485,7485,,
950137200,7479.5,7624.5,7476.5,7620.5,,
950223600,7617.5,7648.5,7458.5,7501,,
950482800,7492,7536.5,7442.5,7512,,
950569200,7508,7558.5,7369.5,7545,,
950655600,7543,7595.5,7503.5,7529,,
950742000,7534.5,7654.5,7519.5,7615,,
950828400,7618.5,7649.5,7471,7476.5,,
951174000,7463,7526.5,7374,7476,,
951260400,7485.5,7726.5,7470.5,7696,,
951346800,7698,7801,7615,7801,,
951433200,7792,7824.5,7638.5,7702.5,,
951692400,7691,7751.5,7537.5,7666.5,,
951778800,7673,7809.5,7667,7809.5,,
951865200,7806.5,7861.5,7781.5,7834,,
951951600,7833.5,7846.5,7712.5,7733.5,,
952038000,7738.5,7966.5,7718.5,7963,,
952297200,7955.5,8049.5,7939.5,8006,,
952383600,7992,8079,7869.5,7901,,
952470000,7896,7973.5,7780.5,7966,,
952556400,7965.5,8123.5,7885,8116.5,,
952642800,8108.5,8176.5,8063.5,8113.5,,
952902000,8098.5,8105.5,7929,7972.5,,
952988400,7960.5,8054,7732,7750,,
953074800,7748.5,7807,7595.5,7614,,
953161200,7622,7882.5,7558,7864.5,,
953247600,7865.5,7977,7823,7966.5,,
953506800,7957.5,7979,7765.5,7802.5,,
953593200,7798,7979.5,7665,7968,,
953679600,7960,8159,7942,8070,,
953766000,8075,8225,8026,8182.5,,
953852400,8180,8334,8116,8254,,
954111600,8237,8300,8201,8212,,
954198000,8211,8287.5,8100,8112.5,,
954284400,8110,8128,7906,7919,,
954370800,7921,8008,7661.5,7777.5,,
954457200,7778,7936,7695.5,7907.5,,
954712800,7867,7867,7538.5,7585,,
954799200,7578,7662,7188.34,7516,,
954885600,7530,7663.5,7379,7510,,
954972000,7505,7670,7469.5,7595,,
955058400,7594.5,7793.5,7585,7787,,
955317600,7481.66,7481.66,7154,7154,,
955404000,7476,7550.5,7336,7402,,
955490400,7404.5,7472.66,7103,7145,,
955576800,7214,7334,7012,7031.5,,
955663200,6995.16,6995.16,6598,6667.5,,
955922400,6699.84,7040,6699.84,7027.5,,
956008800,7034,7202,6939,7200,,
956095200,7184.5,7231,7054.5,7072.5,,
956181600,7080,7120,6935,6985,,
956527200,6938.5,6938.5,6673,6867,,
956613600,6866.5,7105,6849,7095,,
956700000,7100,7184,6970,6977.5,,
956786400,6977.5,7183.5,6867.5,7135,,
956872800,7144.5,7276.5,7130,7260,,
957132000,7257.5,7360,7256,7317,,
957218400,7316,7337,7086,7093.5,,
957304800,7088.5,7108,6902,7035,,
957391200,7033.5,7102,6985,7039.5,,
957477600,7035,7190,6977.5,7145,,
957736800,7132,7143,6962.5,7001.5,,
957823200,6997,7049,6870.5,6902.5,,
957909600,6898,6935.5,6695.5,6702.5,,
957996000,6700,6858,6644,6835.5,,
958082400,6852.5,6990,6841,6867.5,,
958341600,6860,7015,6777.5,7009.5,,
958428000,7005,7133.5,6997,7120,,
958514400,7119.5,7123.5,6988.5,7037.5,,
958600800,7039,7055,6890,6910,,
958687200,6907.5,6925,6716,6730,,
