time,open,high,low,close,Midnight Level,Início - Meia-Noite
928188000,5875.5,5930.5,5850.5,5907.5,,
930780000,5908,6071,5847.5,5876,,
933544800,5848.5,6059.5,5714,5977.5,,
936136800,5977,6146,5927,5991.5,,
938728800,5988.5,6224,5870.5,6207.5,,
941410800,6202,6717,6178.5,6524,,
944002800,6523,7313,6513.5,7262.5,,
946854000,7258.5,7446.5,6765.5,7121,,
949359600,7115,7824.5,7072.5,7809.5,,
951865200,7806.5,8334,7558,7907.5,,
954712800,7867,7867,6598,7260,,
957132000,7257.5,7360,6352.5,6775,,
959810400,6774,7448,6774,7207.5,,
962575200,7192,7525,6855,7007.5,,
965080800,7006.5,7485.5,6760.5,7484.5,,
967759200,7480,7576.5,6909,6949.5,,
970437600,6949.5,6996.5,6307,6626.5,,
973033200,6628,6728.5,5763.5,5858.5,,
975625200,5859,6323.5,5489.5,5653,,
978303600,5653.5,6075.5,5409,5889.5,,
980982000,5887,5926,5159.5,5191.5,,
983401200,5184,5315,4800.5,4844,,
986162400,4857,5253,4617,5122.5,,
988668000,5118,5336.5,5020,5054.5,,
991346400,5055,5255,4895.5,5090.5,,
994024800,5083.5,5117.5,4824,4928.5,,
996616800,4926.5,5015,4672.5,4708,,
999468000,4709.5,4758.5,4324.5,4402.5,,
1001887200,4398.5,4720.5,4363.5,4596.5,,
1004569200,4592,4875.5,4588,4825.5,,
1007334000,4817.5,4965.5,4778,4804,,
1009839600,4798,4937.5,4704.5,4774,,
1012518000,4770,4786,4551,4581,,
1014937200,4580.5,4795.5,4578.5,4672,,
1017615600,4666.5,4702,4443.5,4492.5,,
1020204000,4492,4566.5,4357,4422,,
1023055200,4422,4432,4181.5,4261.5,,
1025474400,4262,4281,4080.5,4169,,
1028152800,4166,4262.5,4064.5,4151,,
1030917600,4149.5,4188,4029.5,4040.5,,
1033423200,4039,4218,4001,4195,,
1036105200,4195,4348.5,4177,4320.5,,
1038783600,4316,4361,4179,4187,,
1041375600,4192,4308.5,4165,4184.5,,
1044226800,4184,4222,4138.5,4210.5,,
1046646000,4214.5,4301,4145,4218.5,,
1049151600,4216.5,4327,4213,4305.5,,
1051740000,4304.5,4400,4292.5,4396.5,,
1054504800,4396,4464,4377.5,4399,,
1057010400,4400.5,4514,4373.5,4473.5,,
1059688800,4473,4540.5,4398.5,4536.5,,
1062367200,4535.5,4597,4495,4498,,
1064959200,4497.5,4637,4496.5,4610,,
1067814000,4604.5,4650.5,4548.5,4617,,
1070233200,4616,4668,4564.5,4657,,
1072911600,4662,4752,4649.5,4684,,
1075676400,4683,4714.5,4641,4660.5,,
1078095600,4662,4685,4552,4628,,
1080774000,4630,4697.5,4586,4589.5,,
1083535200,4586,4658,4559,4654.5,,
1086040800,4652.5,4710.5,4628,4703,,
1088632800,4703.5,4707.5,4542,4584.5,,
1091397600,4582,4592.5,4484,4552,,
1093989600,4551.5,4623.5,4542,4594.5,,
1096581600,4594,4677.5,4589,4667,,
1099263600,4658,4773.5,4658,4750,,
1101855600,4755.5,4813.5,4751.5,4797,,
1104706800,4796.5,4812.5,4653,4692.5,,
1107212400,4691,4733.5,4659,4681.5,,
1109631600,4682,4723.5,4622.5,4650,,
1112310000,4650.5,4670.5,4556.5,4584.5,,
1114984800,4585,4717.5,4578,4705,,
1117576800,4703,4735.5,4647,4650.5,,
1120168800,4649.5,4777.5,4612.5,4759,,
1122847200,4763.5,4783,4692,4731.5,,
1125525600,4733,4768.5,4697.5,4748,,
1128290400,4749.5,4763.5,4657,4720.5,,
1130799600,4712,4844,4708,4809,,
1133391600,4812,4853,4771,4776,,
1136156400,4775,4891,4763,4836.5,,
1138748400,4815.5,4842.5,4759.5,4791.5,,
1141167600,4790,4836.5,4751,4819,,
1144015200,4823.25,4864.75,4795.25,4810,,
1146434400,4813.5,4827,4656.25,4682,,
1149112800,4682,4735.75,4609.75,4672.75,,
1151877600,4674.75,4684.75,4539,4600,,
1154383200,4597.25,4672.75,4563,4664.25,,
1157061600,4665.25,4746,4640.25,4734,,
1159740000,4733.25,4819.75,4700.75,4805.5,,
1162335600,4806,4888.75,4764,4857.5,,
1164927600,4857,4889.5,4804,4815.75,,
1167606000,4821.25,4908.5,4787.75,4843.25,,
1170284400,4845.25,4898.25,4784,4806.25,,
1172703600,4805.25,4851.25,4745.5,4811,,
1175464800,4812,4929.25,4798.5,4899.5,,
1177970400,4896.75,4956,4888.25,4952.5,,
