time,open,high,low,close,Midnight Level,Início - Meia-Noite
930520800,5875.5,5939,5850.5,5929.5,,
931125600,5965.5,5992,5923,5980,,
931730400,6005,6071,5954.5,6066,,
932335200,6057.5,6071,5865.5,5885,,
932940000,5863,5935,5847.5,5876,,
933544800,5848.5,5907,5746.5,5806.5,,
934149600,5818,5884.5,5714,5879.5,,
934754400,5900,5945.5,5860,5890,,
935359200,5919,6059.5,5917.5,5987,,
935964000,5987,6095,5914.5,6095,,
936568800,6113,6146,6036,6119,,
937173600,6122,6132,5994.5,6120.5,,
937778400,6137,6140,5927,5978,,
938383200,5979,6038.5,5931.5,5983.5,,
938988000,5983.5,6151,5976.5,6130,,
939592800,6130,6169,5957,5968,,
940197600,5958.5,6099,5870.5,6048.5,,
940802400,6049.5,6224,5990,6207.5,,
941410800,6202,6336,6178.5,6336,,
942015600,6302.5,6462,6292.5,6457,,
942620400,6460.5,6601,6435.5,6595.5,,
943225200,6604,6717,6534.5,6673,,
943830000,6676,6770.5,6513.5,6726,,
944434800,6726.5,6781,6657,6759,,
945039600,6765,6967,6677.5,6922,,
945644400,6947.5,7190.5,6940,7144.5,,
946249200,7144,7313,7074.5,7262.5,,
946854000,7258.5,7403.5,6765.5,7070.5,,
947458800,7069.5,7313,6984.5,7261,,
948063600,7251.5,7422.5,7178,7401.5,,
948668400,7400,7446.5,6917.5,6983.5,,
949273200,6970.5,7468.5,6879.5,7415,,
949878000,7415,7652.5,7384,7501,,
950482800,7492,7654.5,7369.5,7476.5,,
951087600,7463,7824.5,7374,7702.5,,
951692400,7691,7966.5,7537.5,7963,,
952297200,7955.5,8176.5,7780.5,8113.5,,
952902000,8098.5,8105.5,7558,7966.5,,
953506800,7957.5,8334,7665,8254,,
954111600,8237,8300,7661.5,7907.5,,
954712800,7867,7867,7188.34,7787,,
955317600,7481.66,7550.5,6598,6667.5,,
955922400,6699.84,7231,6699.84,6985,,
956527200,6938.5,7276.5,6673,7260,,
957132000,7257.5,7360,6902,7145,,
957736800,7132,7143,6644,6867.5,,
958341600,6860,7133.5,6716,6730,,
958946400,6726,6790.16,6352.5,6580,,
959551200,6573.5,7225.5,6573,7201.5,,
960156000,7202,7290,7055,7204.5,,
960760800,7195,7288.5,7034.5,7218,,
961365600,7214,7448,7108.5,7118.5,,
961970400,7128,7266.5,7068.5,7207.5,,
962575200,7192,7329,7042.5,7268,,
963180000,7259.5,7489.5,7142.5,7468.5,,
963784800,7466,7525,7263,7324.5,,
964389600,7324.5,7397.5,6864,6896.5,,
964994400,6898.5,7135,6760.5,7022.5,,
965599200,7023,7199.5,6933,7054,,
966204000,7053,7280.5,7025,7226,,
966808800,7228,7391.5,7163,7349.5,,
967413600,7346,7576.5,7319.5,7508.5,,
968018400,7498,7533.5,7198.5,7198.5,,
968623200,7198.5,7249,6998,7047,,
969228000,7049.5,7202.5,6930.5,7104.5,,
969832800,7105,7158.5,6909,6949.5,,
970437600,6949.5,6996.5,6633.5,6686,,
971042400,6688,6730.5,6350,6599,,
971647200,6602.5,6884,6353.5,6828,,
972252000,6827,6892,6307,6551,,
972860400,6548.5,6715.5,6390.5,6681.5,,
973465200,6681.5,6728.5,6220.5,6221.5,,
974070000,6186.5,6445,6083.5,6268,,
974674800,6257.5,6274.5,6004.5,6157.5,,
975279600,6176.5,6257.5,5763.5,5901,,
975884400,5901,6252.5,5808.5,6069,,
976489200,6183.5,6323.5,5829,5881,,
977094000,5898,5970.5,5489.5,5747.5,,
977698800,5760,5822,5637,5653,,
978303600,5653.5,5868.5,5409,5572,,
978908400,5568.5,5895.5,5449.5,5818.5,,
979513200,5810.5,6047.5,5723.5,5965,,
980118000,5968,6075.5,5827,5924,,
980722800,5908.5,6018.5,5756.5,5767,,
981327600,5772.5,5826,5549.5,5555.5,,
981932400,5555,5715.5,5459.5,5506,,
982537200,5508.5,5553.5,5219.5,5335,,
983142000,5356.5,5391.5,5118,5155,,
983746800,5162,5315,5083,5089.5,,
984351600,5096,5103.5,4906,4929,,
984956400,4936,5040,4858,4990,,
985561200,4994.5,5033,4800.5,4844,,
986162400,4857,4881,4617,4723,,
986767200,4727.5,4987.5,4695,4986,,
987372000,4987,5253,4842,5209.5,,
987976800,5212,5216,5010,5079,,
988581600,5081.5,5248.5,5079.5,5196.5,,
989186400,5197.5,5214.5,5072.5,5090.5,,
989791200,5098.5,5221,5020,5190,,
990396000,5189.5,5336.5,5176.5,5224.5,,
991000800,5226,5240,5027.5,5107.5,,
991605600,5101,5255,5076,5158.5,,
992210400,5156,5175,4909.5,4964,,
992815200,4964,5028.5,4895.5,4988.5,,
993420000,4985,5119,4939.5,5090.5,,
994024800,5083.5,5117.5,4914,4919,,
994629600,4918.5,5032.5,4848,5001,,
995234400,5002.5,5009,4890.5,4922,,
995839200,4923,4953.5,4824,4928.5,,
996444000,4932.5,5015,4907,4977,,
997048800,4975.5,4979.5,4818,4859.5,,
997653600,4861.5,4915.5,4754.5,4756.5,,
998258400,4753.5,4820.5,4706.5,4816,,
998863200,4820.5,4841.5,4672.5,4708,,
999468000,4709.5,4758.5,4574,4589,,
1000072800,4588.5,4630,4552.5,4571.5,,
1000677600,4516,4546.5,4324.5,4364.5,,
1001282400,4371.5,4457,4335,4402.5,,
1001887200,4398.5,4548.5,4363.5,4508,,
1002492000,4492,4653.5,4467.5,4617,,
1003096800,4602.5,4691.5,4533,4581,,
1003701600,4581,4720.5,4566,4679,,
1004310000,4684.5,4684.5,4550.5,4660,,
1004914800,4658,4813.5,4657.5,4745,,
1005519600,4748.5,4850.5,4685,4812.5,,
1006124400,4815,4862,4755,4805.5,,
1006729200,4806.5,4875.5,4777.5,4825.5,,
1007334000,4817.5,4965.5,4790,4904.5,,
1007938800,4908.5,4925,4796.5,4840,,
1008543600,4839.5,4894.5,4778,4814,,
1009148400,4815.5,4866,4795.5,4844.5,,
1009753200,4845.5,4925,4789,4899.5,,
1010358000,4897,4937.5,4850.5,4867,,
1010962800,4862.5,4900,4758.5,4775,,
1011567600,4775.5,4812,4723.5,4783,,
1012172400,4780.5,4807.5,4704.5,4755.5,,
1012777200,4749.5,4756,4628,4674.5,,
1013382000,4678.5,4732.5,4654.5,4660.5,,
1013986800,4662.5,4667.5,4551,4579,,
1014591600,4580.5,4658,4574.5,4657,,
1015196400,4651.5,4788.5,4643.5,4776.5,,
1015801200,4760.5,4795.5,4690,4716.5,,
1016406000,4717.5,4745,4662,4694.5,,
1017010800,4693.5,4704.5,4638.5,4672,,
1017615600,4666.5,4702,4591,4601.5,,
1018216800,4597.5,4624.5,4538.5,4565.5,,
1018821600,4568,4652.5,4552.5,4601.5,,
1019426400,4600.5,4604,4463,4464.5,,
1020031200,4469.5,4510,4399,4410,,
1020636000,4413,4498.5,4357,4401.5,,
1021240800,4406.5,4566.5,4399.5,4538.5,,
1021845600,4538,4542,4446.5,4470,,
