time,open,high,low,close,Midnight Level,Início - Meia-Noite
946897200,7251.5,7403.5,7251.5,7288.5,,
946911600,7288.5,7328.5,7189.5,7287,,
946926000,7285.5,7352.5,7262,7340.5,,
946940400,7340,7345,7335,7342,,
946954800,7342,7346.5,7339.5,7339.5,,
946969200,7347,7351,7276.5,7281,,
946983600,7287.5,7298.5,7251.5,7278.5,,
946998000,7278,7296.5,7161.5,7208,,
947012400,7206.5,7215,7058.5,7071,,
947026800,7060.5,7063.5,7018.5,7033.5,,
947041200,7035.5,7051.5,7020.5,7038.5,,
947055600,7024.5,7074.5,7023.5,7064.5,,
947070000,7068.5,7088.5,6984,6984,,
947084400,6984,7058.5,6903.5,7058.5,,
947098800,7059.5,7126.5,6955.5,6980.5,,
947113200,6986,6997.5,6979,6988.5,,
947127600,6989,6989,6967.5,6968.5,,
947142000,6965.5,6993,6961.5,6970.5,,
947156400,6970.5,7061.5,6948.5,6992.5,,
947170800,6992.5,7031.5,6943.5,6989,,
947185200,6987.5,6988,6780.5,6780.5,,
947199600,6773.5,6791.5,6766.5,6791.5,,
947214000,6792,6795.5,6776.5,6778.5,,
947228400,6786.5,6828.5,6786.5,6823.5,,
947242800,6824,6900.5,6779,6896.5,,
947257200,6897.5,6996,6892.5,6969.5,,
947271600,6970.5,7083,6960.5,7070.5,,
947458800,7069.5,7086,7063,7078.5,,
947473200,7078,7098.5,7074,7086.5,,
947487600,7086.5,7126.5,7078.5,7118.5,,
947502000,7116.5,7227.5,7116,7205.5,,
947516400,7204,7239.5,7150,7223.5,,
947530800,7225.5,7313,7224.5,7267.5,,
947545200,7271.5,7273.5,7262.5,7262.5,,
947559600,7260.5,7260.5,7247,7250.5,,
947574000,7253.5,7263,7228,7231.5,,
947588400,7233,7262,7209,7253.5,,
947602800,7253.5,7266.5,7155.5,7203.5,,
947617200,7203.5,7219.5,7050.5,7099,,
947631600,7083,7085,7063.5,7068,,
947646000,7058.5,7078.5,7058.5,7078.5,,
947660400,7088.5,7111.5,7078.5,7096,,
947674800,7098.5,7123.5,7001.5,7024,,
947689200,7024,7113.5,6984.5,7068.5,,
947703600,7068.5,7084.5,7000.5,7018.5,,
947718000,7018.5,7033,7018.5,7030.5,,
947732400,7030.5,7035.5,7029,7031.5,,
947746800,7033,7069.5,7032.5,7066.5,,
947761200,7066,7118.5,7035.5,7065.5,,
947775600,7069.5,7099.5,7031.5,7090,,
947790000,7088.5,7185.5,7080.5,7184.5,,
947804400,7192,7193,7153.5,7174,,
947818800,7178.5,7187.5,7170.5,7187,,
947833200,7180,7207.5,7179.5,7194,,
947847600,7198.5,7274.5,7190.5,7255.5,,
947862000,7255,7293.5,7219.5,7266.5,,
947876400,7267.5,7287,7241.5,7261,,
948063600,7251.5,7267.5,7247,7257.5,,
948078000,7266,7266,7266,7266,,
948092400,7258.5,7259,7254.5,7256.5,,
948106800,7257.5,7280.5,7257.5,7270.5,,
948121200,7273.5,7273.5,7264,7269.5,,
948150000,7268.5,7276,7262.5,7270.5,,
948164400,7269.5,7282,7268.5,7273.5,,
948178800,7275.5,7275.5,7250,7251.5,,
948193200,7252,7254.5,7178,7236,,
948207600,7235.5,7292.5,7229.5,7266,,
948222000,7266.5,7328,7265,7294,,
948236400,7273.5,7279.5,7266,7266,,
948250800,7265,7271.5,7263.5,7263.5,,
948265200,7263.5,7288.5,7253.5,7259.5,,
948279600,7259,7299,7249.5,7279,,
948294000,7278.5,7343.5,7255.5,7332,,
948308400,7332.5,7370.5,7299.5,7367,,
948322800,7378.5,7387,7368.5,7387,,
948337200,7387,7396,7375.5,7387.5,,
948351600,7384.5,7410.5,7381,7393.5,,
948366000,7390.5,7399.5,7368.5,7383,,
948380400,7383.5,7421.5,7319.5,7360.5,,
948394800,7360.5,7410.5,7355.5,7364,,
948409200,7366,7366,7352,7352,,
948423600,7353.5,7363,7350.5,7350.5,,
948438000,7357.5,7393.5,7332.5,7378.5,,
948452400,7374,7422.5,7363,7390,,
948466800,7389.5,7406.5,7346.5,7394.5,,
948481200,7394,7403,7372,7401.5,,
948668400,7400,7420.5,7392.5,7416.5,,
948682800,7417.5,7424.5,7403.5,7407.5,,
948697200,7412,7423.5,7399,7422.5,,
948711600,7421.5,7446.5,7416,7425.5,,
948726000,7424.5,7434.5,7339,7353.5,,
948740400,7353.5,7357.5,7183.5,7194,,
948754800,7189,7230.5,7188.5,7200.5,,
948769200,7200.5,7209,7200.5,7203.5,,
948783600,7207.5,7238,7207.5,7217.5,,
948798000,7225,7239,7115,7190.5,,
948812400,7190.5,7242.5,7124.5,7128.5,,
948826800,7128.5,7305.5,7124,7283,,
948841200,7279,7292,7273.5,7283.5,,
948855600,7277.5,7295.5,7277.5,7295,,
948870000,7289,7294.5,7268.5,7273.5,,
948884400,7273.5,7296,7229.5,7260.5,,
948898800,7261.5,7267.5,7199,7232.5,,
948913200,7232.5,7259,7116,7125.5,,
948927600,7114.5,7122.5,7111,7122.5,,
