time,open,high,low,close,Midnight Level,Início - Meia-Noite
1546383600,9278.75,9315.5,9221.5,9236,,
1546398000,9235.5,9237.75,9183.5,9197,,
1546412400,9196.5,9205,9083.25,9115.5,,
1546426800,9115.5,9199.25,9111.25,9191.5,,
1546441200,9191.25,9338.5,9171,9335.75,,
1546455600,9336.25,9336.5,9179.75,9190.5,,
1546470000,9172,9183.25,9136.25,9162.5,,
1546484400,9162,9166.75,9117.5,9139.25,,
1546498800,9138.75,9162.25,9118,9128.25,,
1546513200,9127.75,9233.5,9122.25,9181.5,,
1546527600,9180.5,9212.75,9099,9115.5,,
1546542000,9115.75,9162,9077.75,9101.5,,
1546556400,9098,9119,9065.75,9117.75,,
1546570800,9118.25,9170.25,9114.75,9165.5,,
1546585200,9165.75,9208.25,9159.75,9205.5,,
1546599600,9205.25,9240.5,9154.75,9236.5,,
1546614000,9237,9391.25,9209.75,9368,,
1546628400,9368.25,9383.75,9336.75,9361,,
1546815600,9380.5,9424.75,9369,9383.75,,
1546830000,9384,9393.5,9364.25,9381.75,,
1546844400,9382,9396.5,9343.25,9354.75,,
1546858800,9354.5,9391.25,9331.75,9373.5,,
1546873200,9373,9465,9355.25,9438.5,,
1546887600,9438,9449.5,9411.25,9434.25,,
1546902000,9435.25,9458.25,9420.25,9451.5,,
1546916400,9452,9461.25,9431.5,9447,,
1546930800,9447.5,9469.75,9433,9467.5,,
1546945200,9467.75,9515.5,9460.5,9471,,
1546959600,9471.25,9493,9396.5,9485,,
1546974000,9485.25,9501,9472.75,9481,,
1546988400,9476,9538.75,9476,9530.25,,
1547002800,9530.25,9535.5,9504.5,9507.5,,
1547017200,9507.5,9527,9491.75,9516,,
1547031600,9515.5,9542.5,9495.75,9535.75,,
1547046000,9536,9564,9489.5,9551.25,,
1547060400,9551.25,9574.25,9521.25,9532.75,,
1547074800,9526.5,9533.75,9482.25,9492.5,,
1547089200,9492.5,9514.5,9489.25,9493.75,,
1547103600,9493.75,9504.75,9469.75,9488,,
1547118000,9488.25,9506.75,9456.75,9468.75,,
1547132400,9468.75,9557.5,9465.75,9518,,
1547146800,9517.75,9571,9517.25,9557,,
1547161200,9551.75,9561,9534,9541.75,,
1547175600,9541.5,9550.5,9534.75,9550.25,,
1547190000,9550,9561.75,9535.5,9544.75,,
1547204400,9544.75,9548,9501.25,9517.5,,
