time,open,high,low,close,Midnight Level,Início - Meia-Noite
1104706800,4796.5,4800,4796,4799.5,,
1104721200,4799.5,4799.5,4795,4795,,
1104735600,4795,4812.5,4795,4806.5,,
1104750000,4806.5,4812,4801,4805,,
1104764400,4805,4808,4773.5,4782,,
1104778800,4782,4788.5,4775.5,4781.5,,
1104793200,4781.5,4784.5,4780,4784,,
1104807600,4784,4785,4782,4782.5,,
1104822000,4782.5,4787.5,4782.5,4785.5,,
1104836400,4785.5,4788.5,4781,4782,,
1104850800,4782,4788.5,4757,4757.5,,
1104865200,4757.5,4757.5,4740,4750,,
1104879600,4749.5,4753,4749,4752.5,,
1104894000,4752.5,4753,4750.5,4751,,
1104908400,4751,4752,4748,4750,,
1104922800,4750.5,4756,4740.5,4750.5,,
1104937200,4750.5,4756.5,4737,4750,,
1104951600,4750,4752,4732,4734,,
1104966000,4735,4737,4734.5,4736,,
1104980400,4736,4737.5,4736,4736.5,,
1104994800,4736,4741.5,4736,4741,,
1105009200,4740.5,4746,4738.5,4743,,
1105023600,4743,4746,4733,4743.5,,
1105038000,4744,4745,4730,4732.5,,
1105052400,4732,4733,4731,4732.5,,
1105066800,4733,4733.5,4730.5,4731,,
1105081200,4731,4736,4730,4736,,
1105095600,4735.5,4743.5,4731,4739,,
1105110000,4739,4753,4726,4746.5,,
1105124400,4746.5,4749.5,4735.5,4736,,
1105311600,4739,4740,4737,4739,,
1105326000,4739,4739,4738,4738.5,,
1105340400,4738.5,4741,4737.5,4737.5,,
1105354800,4737,4742,4733,4740.5,,
1105369200,4740.5,4753,4735.5,4750,,
1105383600,4750,4750.5,4732.5,4738.5,,
1105398000,4738.5,4739.5,4734.5,4736,,
1105412400,4735.5,4740.5,4735,4737.5,,
1105426800,4737.5,4739,4732,4732.5,,
1105441200,4732.5,4735.5,4729,4735,,
1105455600,4734.5,4737,4719.5,4729.5,,
1105470000,4729,4737,4723.5,4735.5,,
1105484400,4733.5,4737.5,4733,4735.5,,
1105498800,4735.5,4736.5,4734.5,4735.5,,
1105513200,4735.5,4738,4734,4734.5,,
1105527600,4734.5,4739,4724.5,4727,,
1105542000,4727.5,4734,4716,4724,,
1105556400,4724,4745,4723,4742,,
1105570800,4743.5,4743.5,4740,4741,,
1105585200,4741,4741.5,4739.5,4741,,
1105599600,4740.5,4741.5,4736,4738.5,,
1105614000,4738,4741.5,4733,4737,,
1105628400,4737,4741.5,4728.5,4737,,
1105642800,4737.5,4739.5,4716,4718,,
1105657200,4716.5,4720,4716.5,4719,,
1105671600,4719.5,4720.5,4718,4718.5,,
1105686000,4718.5,4725,4718.5,4722.5,,
1105700400,4722.5,4730,4721.5,4727,,
1105714800,4727,4738,4723.5,4730.5,,
1105729200,4731,4736.5,4729.5,4731,,
1105916400,4733,4735.5,4731.5,4735,,
1105930800,4735,4736,4734,4735,,
1105945200,4736,4737.5,4734,4736.5,,
1105959600,4736,4738,4734.5,4735.5,,
1105974000,4736,4736.5,4734,4735.5,,
1106002800,4735.5,4736.5,4734,4734.5,,
1106017200,4734.5,4734.5,4732.5,4732.5,,
1106031600,4732.5,4732.5,4728,4729.5,,
1106046000,4729,4730,4724.5,4726.5,,
1106060400,4726.5,4747.5,4725,4746,,
1106074800,4746,4749,4741,4746,,
1106089200,4745,4746,4744,4745,,
1106103600,4744.5,4745.5,4744,4744.5,,
1106118000,4744.5,4744.5,4742,4742.5,,
1106132400,4742.5,4749,4738,4740.5,,
1106146800,4740.5,4742.5,4729,4732.5,,
1106161200,4732.5,4736,4698.5,4700.5,,
1106175600,4696.5,4701.5,4696.5,4700,,
1106190000,4700,4701.5,4699.5,4701,,
1106204400,4701,4704,4701,4702.5,,
1106218800,4703,4704.5,4696.5,4698,,
1106233200,4698.5,4708.5,4690.5,4694.5,,
1106247600,4694.5,4702.5,4687.5,4692.5,,
1106262000,4692.5,4694,4692,4693.5,,
1106276400,4693,4693.5,4692,4693.5,,
1106290800,4693,4698,4693,4695,,
1106305200,4695,4699.5,4687,4691.5,,
1106319600,4691.5,4697.5,4679,4682.5,,
1106334000,4682,4686.5,4674.5,4678,,
1106521200,4678.5,4682,4678,4682,,
1106535600,4681.5,4681.5,4679.5,4680.5,,
1106550000,4680.5,4683,4679.5,4681,,
1106564400,4681,4683,4672,4673.5,,
1106578800,4673.5,4679.5,4663.5,4667.5,,
1106593200,4667.5,4672,4653,4661,,
1106607600,4660,4662.5,4660,4661.5,,
1106622000,4661.5,4663,4661.5,4662,,
1106636400,4662,4669,4661,4667.5,,
1106650800,4667,4674,4664.5,4672,,
1106665200,4672.5,4678.5,4666.5,4671.5,,
1106679600,4671.5,4671.5,4661,4667.5,,
1106694000,4669,4669.5,4667.5,4668,,
1106708400,4668,4668.5,4667.5,4668,,
1106722800,4668.5,4670.5,4665.5,4670,,
1106737200,4670,4676,4669.5,4673,,
1106751600,4673,4679,4667,4676,,
1106766000,4676,4686.5,4673.5,4675,,
1106780400,4675.5,4676,4674.5,4675.5,,
1106794800,4675.5,4676.5,4675,4675.5,,
1106809200,4676,4677,4671,4671.5,,
1106823600,4672,4680,4670,4674,,
1106838000,4674,4686,4669,4673,,
1106852400,4673,4686.5,4670,4683.5,,
1106866800,4683.5,4685.5,4681.5,4682.5,,
1106881200,4682.5,4683.5,4681.5,4682,,
1106895600,4681.5,4684,4680.5,4682.5,,
1106910000,4682,4685.5,4677.5,4681,,
1106924400,4680.5,4682,4658,4662.5,,
1106938800,4662,4678,4658.5,4678,,
1107126000,4681.5,4691.5,4681,4688.5,,
1107140400,4688.5,4691,4687.5,4689.5,,
1107154800,4689.5,4690.5,4684.5,4688,,
1107169200,4688,4692.5,4685,4692,,
1107183600,4692.5,4696.5,4687.5,4691.5,,
1107198000,4692,4695.5,4685,4692.5,,
1107212400,4691,4693,4691,4693,,
1107226800,4692.5,4693,4691.5,4691.5,,
1107241200,4691.5,4692.5,4689.5,4692,,
1107255600,4692.5,4696.5,4690,4692,,
1107270000,4692.5,4701,4689,4699.5,,
1107284400,4699.5,4703,4691.5,4702.5,,
1107298800,4702.5,4702.5,4701.5,4701.5,,
1107313200,4702,4702,4701,4701.5,,
1107327600,4701.5,4703,4699,4701.5,,
1107342000,4701.5,4704,4693.5,4694.5,,
1107356400,4694,4698.5,4690,4697,,
1107370800,4697.5,4703.5,4686.5,4691.5,,
1107385200,4691,4691.5,4690.5,4690.5,,
1107399600,4690.5,4692,4690.5,4692,,
1107414000,4692,4693.5,4690.5,4691.5,,
1107428400,4691,4693.5,4685,4690,,
1107442800,4689.5,4690,4673,4679.5,,
1107457200,4680,4683,4675,4680.5,,
1107471600,4681,4682.5,4680,4682,,
1107486000,4682,4683,4681,4682,,
1107500400,4681.5,4685.5,4681.5,4682,,
1107514800,4682,4691.5,4675,4689.5,,
1107529200,4690,4701.5,4689.5,4698.5,,
1107543600,4698.5,4707.5,4695,4702.5,,
1107730800,4706,4707.5,4705,4705.5,,
1107745200,4706,4707,4704.5,4705.5,,
1107759600,4705.5,4707,4703.5,4706.5,,
