time,open,high,low,close,Midnight Level,Início - Meia-Noite
1762124400,26275.5,26297.25,26260,26295.75,,
1762124700,26294.25,26317.5,26293.25,26310.75,,
1762125000,26311.5,26319.25,26307.25,26317.75,,
1762125300,26318,26322.5,26311.75,26321.5,,
1762125600,26321.25,26324.5,26303.25,26309.25,,
1762125900,26309.25,26309.75,26297,26305.25,,
1762126200,26304.75,26329.5,26300.75,26328.5,,
1762126500,26328.25,26334.5,26318,26321.75,,
1762126800,26321,26334.75,26321,26324,,
1762127100,26323.25,26332.75,26322.75,26331.5,,
1762127400,26331.25,26340,26331.25,26334.5,,
1762127700,26333.5,26338.5,26327.25,26328,,
1762128000,26329,26338.5,26326,26335.75,,
1762128300,26335.5,26344.5,26334.25,26339.5,,
1762128600,26338.75,26345,26331.75,26337.5,,
1762128900,26338.25,26355.25,26336.75,26354,,
1762129200,26354.5,26361.25,26354,26355.5,,
1762129500,26355.25,26355.25,26344.75,26352.25,,
1762129800,26352,26359.25,26348.75,26355.5,,
1762130100,26356.5,26359.25,26349.25,26358,,
1762130400,26358,26362.5,26357,26360,,
1762130700,26360,26363.5,26359.5,26361,,
1762131000,26361.25,26364.25,26360.25,26361.75,,
1762131300,26361.75,26365.25,26357.75,26363.25,,
1762131600,26363.5,26368.25,26358.75,26359.5,,
1762131900,26360.75,26361,26348,26351.5,,
1762132200,26351,26360,26351,26357.25,,
1762132500,26358.25,26368.75,26357,26366,,
1762132800,26366.75,26370.25,26351.25,26351.25,,
1762133100,26351.5,26355,26347.75,26353.5,,
1762133400,26354.25,26356.5,26349,26350.75,,
1762133700,26351,26351.75,26342.5,26345.25,,
1762134000,26344.75,26347.5,26334.75,26346.25,,
1762134300,26346.75,26347.25,26338.25,26342.75,,
1762134600,26343.25,26345,26335.5,26336,,
1762134900,26335.75,26342.5,26335.5,26336.75,,
1762135200,26336,26342.5,26334,26340.25,,
1762135500,26340.5,26343.25,26331.75,26337,,
1762135800,26336.5,26342.75,26330.25,26341.75,,
1762136100,26342,26347,26339.25,26346.75,,
1762136400,26346.75,26358.75,26345.5,26355,,
1762136700,26356,26361.75,26350.75,26350.75,,
1762137000,26350.5,26351.75,26335.75,26337.25,,
1762137300,26335.75,26337.75,26317.25,26320.5,,
1762137600,26320.75,26334.25,26317.25,26332.5,,
1762137900,26333.5,26336.75,26326,26335.5,,
1762138200,26336,26340.25,26333.5,26336.75,,
1762138500,26336.25,26337,26325.25,26330.25,,
1762138800,26330.25,26332,26327,26327.5,,
1762139100,26327.75,26331,26319,26324,,
1762139400,26322.5,26323,26310.5,26312.75,,
1762139700,26313.5,26325.75,26313.5,26319.25,,
1762140000,26318.5,26318.5,26298,26303.25,,
1762140300,26302.5,26311.5,26298.75,26310.75,,
1762140600,26311.5,26318.75,26306,26318.25,,
1762140900,26318.5,26328.5,26317.25,26328.5,,
1762141200,26328.75,26328.75,26315,26319,,
1762141500,26318,26319,26310,26319,,
1762141800,26318.75,26325.25,26316.5,26322.25,,
1762142100,26322,26326,26320.25,26323.25,,
1762142400,26322.75,26323.25,26312.5,26314.75,,
1762142700,26315.75,26323.75,26314.25,26320.5,,
1762143000,26319.25,26322,26314.25,26318.75,,
1762143300,26320,26320.5,26313.25,26317.25,,
1762143600,26317.5,26327.75,26313.5,26327.25,,
1762143900,26326.5,26333.5,26324.75,26325.5,,
1762144200,26326.25,26327,26317.75,26325.75,,
1762144500,26327,26330.25,26324.5,26329.5,,
1762144800,26329.5,26333,26319.75,26321.5,,
1762145100,26322.25,26329,26321.75,26329,,
1762145400,26329.75,26332,26326.5,26330.5,,
1762145700,26330.5,26332.5,26325.5,26332.5,,
1762146000,26332.25,26335.25,26328.5,26334.25,26332.25,26332.25
1762146300,26334,26334.75,26324.25,26328.25,26332.25,
1762146600,26328.5,26329.75,26323.5,26326.5,26332.25,
1762146900,26325.5,26326.75,26308.25,26312.5,26332.25,
1762147200,26311.75,26311.75,26303.75,26308.75,26332.25,
1762147500,26309.25,26325.25,26309.25,26324.5,26332.25,
1762147800,26325.25,26327.25,26315.75,26323.75,26332.25,
1762148100,26322.25,26334.5,26319,26333,26332.25,
1762148400,26333.25,26334.5,26324,26329.25,26332.25,
1762148700,26329.75,26329.75,26312.25,26314.75,26332.25,
1762149000,26314.5,26317,26307.75,26309.75,26332.25,
1762149300,26310,26315.75,26303.75,26314.75,26332.25,
1762149600,26315.5,26327.25,26313.75,26326,26332.25,
1762149900,26326.25,26329,26320.25,26320.25,26332.25,
1762150200,26319.25,26319.75,26309.25,26309.25,26332.25,
1762150500,26308.75,26311.75,26305.5,26306.5,26332.25,
1762150800,26306.75,26308.5,26291.5,26293.75,26332.25,
1762151100,26293.5,26297.75,26281,26289.25,26332.25,
1762151400,26288,26303,26284.5,26303,26332.25,
1762151700,26303.25,26307.75,26297.75,26297.75,26332.25,
1762152000,26297.75,26302.25,26288.25,26290.5,26332.25,
1762152300,26291.25,26297,26279,26297,26332.25,
1762152600,26297.25,26307.5,26294.5,26299.25,26332.25,
1762152900,26298.75,26300.25,26293.25,26295.25,26332.25,
1762153200,26294.5,26296.25,26277,26282,26332.25,
1762153500,26282,26282.5,26273.25,26281,26332.25,
1762153800,26280,26280,26271.5,26277.25,26332.25,
1762154100,26277.5,26286.75,26272.5,26282.5,26332.25,
1762154400,26282.5,26291.5,26270.75,26291,26332.25,
1762154700,26290.5,26296,26277.25,26284,26332.25,
1762155000,26283.5,26287,26276.5,26278.75,26332.25,
1762155300,26278.5,26284,26274.75,26282,26332.25,
1762155600,26282,26282,26266.5,26266.75,26332.25,
1762155900,26266.25,26275.75,26264.5,26271,26332.25,
1762156200,26269.25,26284.5,26266.75,26277.25,26332.25,
1762156500,26277.25,26282.25,26268,26278.25,26332.25,
1762156800,26278.5,26286.25,26266.75,26284,26332.25,
1762157100,26285,26295.25,26276.75,26280.75,26332.25,
1762157400,26280.75,26301.5,26274.25,26298.25,26332.25,
1762157700,26298.75,26305.25,26287,26298.5,26332.25,
1762158000,26296.5,26304.5,26289.25,26301.25,26332.25,
1762158300,26302.5,26316,26302,26313,26332.25,
1762158600,26312.25,26319.5,26310.25,26312.5,26332.25,
1762158900,26313,26319.25,26305.75,26310.25,26332.25,
1762159200,26310.25,26326.25,26308,26326.25,26332.25,
1762159500,26326.25,26330.5,26322,26328.25,26332.25,
1762159800,26327.25,26344.25,26326.75,26342.5,26332.25,
1762160100,26341,26343.25,26331.75,26333.25,26332.25,
1762160400,26334,26349,26329.5,26348.75,26332.25,
1762160700,26349.5,26366.25,26349.5,26364.75,26332.25,
1762161000,26365,26370.25,26358.5,26368.75,26332.25,
1762161300,26369.75,26380.5,26366.75,26376.5,26332.25,
1762161600,26377.75,26389.25,26372.25,26387,26332.25,
1762161900,26386.75,26396.75,26386.75,26394,26332.25,
1762162200,26394.25,26403.25,26384.25,26387.25,26332.25,
1762162500,26387.25,26396.75,26384.25,26392.25,26332.25,
1762162800,26393,26398,26390.75,26393.75,26332.25,
1762163100,26394.5,26396,26382,26387,26332.25,
