time,open,high,low,close,Midnight Level,Início - Meia-Noite
1704150000,18960.75,18978.75,18955.5,18971.25,,
1704153600,18971.75,18972.5,18960.25,18968.75,,
1704157200,18968.5,18980.25,18952.5,18956.25,,
1704160800,18956.25,18960.75,18942.75,18950,,
1704164400,18950,18954.75,18944,18949.25,,
1704168000,18949,18954.75,18945,18949.5,,
1704171600,18949.75,18960.75,18948.5,18959.5,18949.75,18949.75
1704175200,18959.25,18961.25,18944.75,18946.25,18949.75,
1704178800,18946,18965,18946,18959,18949.75,
1704182400,18959.25,18978.5,18957.75,18969,18949.75,
1704186000,18969,18970.25,18929.75,18936.25,18949.75,
1704189600,18936.25,18939.25,18910,18912.75,18949.75,
1704193200,18912.5,18918.25,18787,18816.5,18949.75,
1704196800,18817,18819.75,18758.75,18765.25,18949.75,
1704200400,18764.75,18797.25,18758.75,18794.75,18949.75,
1704204000,18794.75,18819.5,18661.25,18705.25,18949.75,
1704207600,18705.25,18730.75,18626.75,18652.25,18949.75,
1704211200,18652.5,18727.25,18650.75,18720,18949.75,
1704214800,18719.75,18729.5,18659.5,18661.75,18949.75,
1704218400,18662,18683.75,18630,18637.75,18949.75,
1704222000,18638.25,18649.25,18595.5,18596.75,18949.75,
1704225600,18596.5,18667.75,18564.25,18662.75,18949.75,
1704229200,18662.75,18678.25,18655.75,18673.5,18949.75,
1704236400,18678.5,18679,18658.5,18666.5,,
1704240000,18666.25,18670.75,18656.75,18658.25,,
1704243600,18658.5,18662.75,18649.25,18653.5,,
1704247200,18653,18656.5,18641.75,18644.5,,
1704250800,18644.75,18651,18643.25,18645.25,,
1704254400,18645,18646.25,18635,18636.5,,
1704258000,18636.75,18647.5,18630.75,18646.5,18636.75,18636.75
1704261600,18646.25,18658.5,18642,18653.25,18636.75,
1704265200,18652.75,18655.75,18643.25,18651.5,18636.75,
1704268800,18651.25,18671.25,18614,18616.75,18636.75,
1704272400,18616,18630,18583,18584.25,18636.75,
1704276000,18584,18615.75,18578.5,18599.25,18636.75,
1704279600,18599.5,18607.5,18577.75,18590,18636.75,
1704283200,18590.25,18591,18544.5,18551,18636.75,
1704286800,18551,18587.75,18539.75,18558.75,18636.75,
1704290400,18558.75,18584,18523.25,18555.5,18636.75,
1704294000,18554.5,18595.25,18485.75,18537,18636.75,
1704297600,18537.25,18559.75,18500,18504,18636.75,
1704301200,18504.25,18546.75,18491,18542.25,18636.75,
1704304800,18542,18561.25,18512.5,18527.25,18636.75,
1704308400,18525.25,18570.5,18471.5,18532.25,18636.75,
1704312000,18532.25,18538.75,18463.75,18482.5,18636.75,
1704315600,18482.25,18484.75,18469,18484.5,18636.75,
1704322800,18487,18504.5,18487,18491.25,,
1704326400,18491,18505,18474.75,18501.75,,
1704330000,18501.5,18504.5,18490.5,18497.5,,
1704333600,18497.75,18499,18484.5,18494,,
1704337200,18493.75,18499.5,18488.5,18491.25,,
1704340800,18490.75,18497,18489.75,18490.25,,
1704344400,18490.75,18494,18484.5,18485.5,18490.75,18490.75
1704348000,18485.5,18512.25,18481.25,18511,18490.75,
1704351600,18511.5,18529,18507.5,18512.25,18490.75,
1704355200,18512.75,18526,18487.5,18491.25,18490.75,
1704358800,18491.25,18522.5,18490.5,18518.75,18490.75,
1704362400,18518.5,18520,18492.75,18505.5,18490.75,
1704366000,18505.5,18514.75,18470,18471,18490.75,
1704369600,18470.75,18477.5,18446.25,18461,18490.75,
1704373200,18460.75,18460.75,18393,18401.25,18490.75,
1704376800,18400.75,18442,18385,18402.5,18490.75,
1704380400,18402,18483.75,18387.5,18467,18490.75,
1704384000,18467,18525.5,18456,18464.75,18490.75,
1704387600,18464.75,18470.5,18423,18446.75,18490.75,
1704391200,18447.25,18470.75,18434.25,18447,18490.75,
1704394800,18447,18456.75,18406.5,18428.75,18490.75,
1704398400,18428.5,18452.75,18377.75,18385.5,18490.75,
1704402000,18385.5,18399.25,18378.5,18392.5,18490.75,
1704409200,18396.75,18410.5,18392.5,18398.25,,
1704412800,18398.25,18408.25,18395,18400.5,,
1704416400,18400.5,18410.75,18392.5,18402.25,,
1704420000,18401.75,18403,18390.5,18393.25,,
1704423600,18393,18396.75,18386.5,18387.75,,
1704427200,18388.25,18398.5,18382.75,18384,,
1704430800,18384,18386.25,18367.5,18370.25,18384,18384
1704434400,18370.5,18376.25,18343,18353.75,18384,
1704438000,18354,18364.25,18341.25,18342.75,18384,
1704441600,18342.75,18380.5,18340,18351,18384,
1704445200,18351,18362.25,18332.5,18338.75,18384,
1704448800,18338.75,18346.5,18313.5,18327.25,18384,
1704452400,18327.5,18336.75,18309.25,18330.5,18384,
1704456000,18330.5,18345,18322.75,18334,18384,
1704459600,18333.75,18368.5,18276,18341.5,18384,
1704463200,18342.25,18437.25,18339.75,18413.25,18384,
1704466800,18414.5,18510.25,18414.5,18505.5,18384,
1704470400,18505.5,18519,18436,18458.25,18384,
1704474000,18458.25,18460.75,18390.25,18411,18384,
1704477600,18410.5,18447.5,18372,18430.25,18384,
1704481200,18430.75,18451.5,18360.5,18366,18384,
1704484800,18366.5,18414,18345.5,18405.5,18384,
1704488400,18405.75,18411,18398.25,18406.75,18384,
1704668400,18411.75,18431.75,18400.5,18424.5,,
1704672000,18424,18439.5,18423.75,18435,,
1704675600,18434.5,18442,18409.75,18411,,
1704679200,18410.75,18410.75,18398.75,18402.75,,
1704682800,18403.5,18404.75,18379.75,18383,,
1704686400,18383,18392.25,18381,18390.25,,
1704690000,18390,18396.75,18378,18383.25,18390,18390
1704693600,18383,18394.5,18373.75,18380.25,18390,
1704697200,18380.75,18403.75,18378.75,18384.5,18390,
1704700800,18385.25,18396.75,18364.75,18366.25,18390,
1704704400,18367.25,18380,18320,18362,18390,
1704708000,18361.75,18386,18361.5,18366,18390,
1704711600,18366.25,18409,18351.75,18400.5,18390,
1704715200,18400.25,18428,18394,18426.5,18390,
1704718800,18426,18439.5,18411.25,18419.25,18390,
1704722400,18419,18575.25,18414,18570.25,18390,
1704726000,18570.25,18613,18554.5,18599.75,18390,
1704729600,18600,18621,18582,18619,18390,
1704733200,18619.25,18660.5,18616.25,18658.75,18390,
1704736800,18658.5,18684.5,18647.75,18683.25,18390,
1704740400,18683.25,18735.25,18673.5,18726.5,18390,
1704744000,18726.25,18753,18712.5,18743,18390,
1704747600,18743,18747.75,18728.5,18730,18390,
1704754800,18729.75,18732.5,18722.25,18727,,
1704758400,18727,18735.25,18724.75,18729.25,,
1704762000,18728.5,18733.75,18724.25,18730.75,,
1704765600,18730.75,18737.75,18727.75,18736.25,,
1704769200,18736.25,18737.75,18727.75,18731.25,,
1704772800,18731,18731.25,18718.75,18723.25,,
1704776400,18723.5,18727,18714.75,18717.5,18723.5,18723.5
1704780000,18717.25,18729.75,18714.25,18726.5,18723.5,
1704783600,18726.5,18726.5,18707,18708.5,18723.5,
1704787200,18708.5,18709.25,18678.5,18687.75,18723.5,
1704790800,18688,18695.75,18661.25,18682.5,18723.5,
1704794400,18682.25,18684.25,18663.75,18672,18723.5,
1704798000,18672,18678.25,18625.5,18636,18723.5,
1704801600,18636.25,18667.25,18630.25,18665,18723.5,
1704805200,18664.75,18665.25,18599.5,18607.25,18723.5,
1704808800,18607,18656.25,18602.25,18646.75,18723.5,
1704812400,18646.75,18693.5,18625,18675.5,18723.5,
1704816000,18675.5,18775.25,18674.75,18774.5,18723.5,
1704819600,18774,18790.25,18755.75,18787.5,18723.5,
1704823200,18787.5,18810.25,18740.25,18782.5,18723.5,
1704826800,18782.5,18797.75,18747.75,18770.25,18723.5,
1704830400,18770,18784.75,18718.25,18773.5,18723.5,
1704834000,18773.5,18779.75,18767.75,18771.25,18723.5,
1704841200,18771.25,18781,18758.25,18779.5,,
1704844800,18779.75,18792.5,18774.75,18779,,
1704848400,18779.5,18780.25,18765.25,18776.25,,
1704852000,18776.5,18783.25,18770.25,18778.5,,
1704855600,18778.75,18779.75,18764,18767.5,,
1704859200,18767.5,18777.5,18766.5,18769.5,,
1704862800,18769.5,18773,18761.75,18768,18769.5,18769.5
1704866400,18767.25,18775,18748,18754.5,18769.5,
1704870000,18755,18790,18752,18786.75,18769.5,
1704873600,18787.25,18806.5,18782.5,18800.75,18769.5,
1704877200,18800.5,18848,18793.75,18839.5,18769.5,
1704880800,18839.25,18843.5,18808.5,18815.5,18769.5,
1704884400,18816.75,18826,18776.25,18789.25,18769.5,
1704888000,18789,18807.75,18781.75,18783,18769.5,
1704891600,18783.25,18790.5,18756.5,18758.25,18769.5,
1704895200,18757.75,18815.75,18751,18779,18769.5,
1704898800,18779,18835.5,18743.25,18834.5,18769.5,
1704902400,18834.5,18839.25,18796.5,18821.25,18769.5,
1704906000,18821.5,18856,18811,18852.5,18769.5,
1704909600,18852.75,18874.25,18827.75,18866.25,18769.5,
1704913200,18866.25,18923.5,18863,18922.25,18769.5,
1704916800,18922.25,18924.75,18834.5,18883.25,18769.5,
1704920400,18883.5,18900.75,18881.5,18898.75,18769.5,
1704927600,18896.75,18909.25,18886.5,18902.5,,
1704931200,18902.25,18928.5,18901,18915.5,,
1704934800,18915.5,18932.75,18915.25,18926.75,,
1704938400,18926.75,18938.5,18924.5,18936,,
1704942000,18936,18949.75,18934.25,18948,,
1704945600,18947.75,18951.25,18935.25,18939.5,,
1704949200,18939.5,18946.5,18933.75,18940,18939.5,18939.5
1704952800,18939.75,18956,18934.25,18949.25,18939.5,
1704956400,18949.25,18960,18947.5,18952,18939.5,
1704960000,18952,18989.75,18947.25,18983.5,18939.5,
1704963600,18983,18984,18937,18945.75,18939.5,
1704967200,18946.25,18950.75,18934.25,18945.75,18939.5,
1704970800,18946,18964.25,18939.5,18949.75,18939.5,
1704974400,18949.25,18960,18942.5,18945.25,18939.5,
1704978000,18945,18998.75,18834,18849.25,18939.5,
1704981600,18849.5,18985.25,18843.75,18900,18939.5,
1704985200,18900,18903.25,18766.25,18797.5,18939.5,
1704988800,18797.25,18808.25,18694.75,18715,18939.5,
1704992400,18715,18799.25,18713.25,18780,18939.5,
1704996000,18779.5,18878,18776.25,18875.5,18939.5,
1704999600,18875.75,18925.5,18857.25,18916.75,18939.5,
1705003200,18916.75,18920.5,18867.75,18907.25,18939.5,
1705006800,18907.25,18911.5,18898.25,18900,18939.5,
1705014000,18899.5,18905,18883,18893.5,,
